"rank_total","sum_total","sum_mean","sum_median","test_para"
1,4603862,4603862,4603862,2224029.01822917
2,0,0,NA,2198061.69097222
3,7352760,2450920,1757922,2094192.38194444
4,21947279,2438586.55555556,2629778,1811959.26388889
5,2432825,1216412.5,1216412.5,1216412.5
6,8009878,1601975.6,1199723,1396248.99765625
7,5569187,2784593.5,2784593.5,1433119.36879185
8,15357405,3071481,1923951,1449938.32725307
9,10267301,1466757.28571429,1501980,1466757.28571429
10,6981278,1163546.33333333,1099125,1163546.33333333
11,6758969,1126494.83333333,1073551,1116031.62673611
12,13640905,1705113.125,1216000.5,1068516.92013889
13,13693273,1141106.08333333,1033100,1010539.00694444
14,7985498,887277.555555556,995823,887277.555555556
15,9096727,1010747.44444444,1054803,1010747.44444444
16,8274751,827475.1,836394,827475.1
17,5690184,812883.428571429,895881,812883.428571429
18,8774736,1253533.71428571,1001145,806746.652472527
19,11658908,896839.076923077,703069,800609.876373626
20,14927170,746358.5,651264,746358.5
21,7306278,730627.8,563218.5,730627.8
22,15943892,996493.25,676968,765867.75
23,16710765,928375.833333333,751498,729519.375
24,21988127,999460.318181818,707296,693171
25,11106924,617051.333333333,590084.5,617051.333333333
26,17963075,718523,607199,718523
27,13030479,620499,613926,620499
28,14846370,674835,582958.5,674835
29,15185269,690239.5,587023,690239.5
30,20584148,762375.851851852,622824,762375.851851852
31,14191724,591321.833333333,561127.5,591321.833333333
32,13995844,608514.956521739,546441,608514.956521739
33,18267113,652396.892857143,560872,604639.35326087
34,14418330,600763.75,515724.5,600763.75
35,15938903,637556.12,438055,588910.931785714
36,13052528,450087.172413793,384231,572420.12689217
37,14463683,516560.107142857,465940,555929.321998626
38,10750190,383935.357142857,384120,554485.137853709
39,9550054,477502.7,445112,553040.953708791
40,10205722,364490.071428571,333527.5,535513.720462993
41,19255556,740598.307692308,380796,481218.095525614
42,7257682,426922.470588235,316364,426922.470588235
43,7324824,430872,366563,430872
44,8171278,389108.476190476,304830,389108.476190476
45,5366648,335415.5,269445.5,374765.357142857
46,7568867,360422.238095238,304668,349333.293956044
47,8421432,323901.230769231,322668,343656.012362637
48,8787447,337978.730769231,308908,337978.730769231
49,6727141,354060.052631579,262950,354060.052631579
